Номер задачи,Номер вектора,Целевой вес,Доля предметов
115,12,316347,0.29
116,12,370696,0.21
117,12,852038,0.50
118,12,832018,0.42
119,12,446655,0.25
120,12,569121,0.42
121,13,692437,0.29
122,13,308320,0.12
123,13,832978,0.46
124,13,265958,0.17
125,13,589972,0.29
126,13,399006,0.17
127,13,381456,0.29
128,13,303678,0.17
129,13,136107,0.08
130,13,294389,0.17
131,14,460841,0.33
132,14,785446,0.50
133,14,465545,0.33
134,14,35071,0.08
135,14,901912,0.46
136,14,544713,0.46
137,14,880290,0.42
138,14,272111,0.25
139,14,554528,0.25
140,14,203505,0.12
141,15,350067,0.21
142,15,456298,0.21
143,15,808866,0.50
144,15,594187,0.25
145,15,488528,0.25
146,15,292081,0.17
147,15,690688,0.38
148,15,912926,0.50
149,15,758715,0.33
150,15,976237,0.50
151,16,888981,0.46
152,16,516919,0.25
153,16,156722,0.12
154,16,334471,0.17
155,16,579997,0.50
156,16,862675,0.50
157,16,636926,0.38
158,16,302288,0.12
159,16,281023,0.17
160,16,713751,0.46
161,17,171573,0.12
162,17,663606,0.50
163,17,541563,0.33
164,17,515474,0.25
165,17,288463,0.25
166,17,366400,0.25
167,17,713719,0.50
168,17,626175,0.46
169,17,273150,0.17
170,17,645771,0.42
171,18,513709,0.33
172,18,285816,0.12
173,18,731268,0.29
174,18,936265,0.46
175,18,426826,0.33
176,18,144223,0.12
177,18,423415,0.25
178,18,522747,0.25
179,18,566231,0.33
180,18,360486,0.25
181,19,864504,0.46
182,19,195965,0.08
183,19,254199,0.17
184,19,645405,0.38
185,19,75171,0.08
186,19,602875,0.33
187,19,667873,0.38
188,19,521321,0.33
189,19,757689,0.38
190,19,904936,0.46
191,20,746477,0.46
192,20,789743,0.33
193,20,153409,0.08
194,20,233050,0.12
195,20,198924,0.08
196,20,507845,0.17
197,20,266115,0.12
198,20,247503,0.08
199,20,645164,0.29
200,20,574766,0.33
201,21,878018,0.50
202,21,530154,0.33
203,21,862518,0.50
204,21,687891,0.38
205,21,974857,0.50
206,21,825627,0.50
207,21,592228,0.38
208,21,640117,0.33
209,21,872297,0.46
210,21,398012,0.21
211,22,178898,0.17
212,22,842209,0.46
213,22,188431,0.17
214,22,433021,0.25
215,22,167880,0.08
216,22,219622,0.12
217,22,298852,0.12
218,22,364445,0.25
219,22,254750,0.25
220,22,449869,0.21
221,23,288608,0.17
222,23,670635,0.38
223,23,692901,0.33
224,23,351904,0.21
225,23,385338,0.25
226,23,845873,0.50
227,23,367942,0.21
228,23,856555,0.42
229,23,442380,0.17
230,23,712926,0.46
231,24,240316,0.25
232,24,380007,0.25
233,24,63637,0.12
234,24,129915,0.12
235,24,529153,0.42
236,24,562308,0.46
237,24,660476,0.46
238,24,90844,0.12
239,24,310623,0.25
240,24,145029,0.33
241,25,258963,0.17
242,25,593197,0.33
243,25,124817,0.08
244,25,359901,0.25
245,25,149210,0.08
246,25,694141,0.38
247,25,401608,0.21
248,25,378647,0.25
249,25,383451,0.21
250,25,527451,0.33
251,26,616004,0.38
252,26,298959,0.17
253,26,333821,0.21
254,26,482743,0.25
255,26,815306,0.38
256,26,851072,0.50
257,26,459939,0.33
258,26,71286,0.12
259,26,488635,0.25
260,26,431389,0.33
261,27,797598,0.50
262,27,447723,0.33
263,27,695621,0.38
264,27,170221,0.12
265,27,517555,0.29
266,27,280913,0.12
267,27,440331,0.21
268,27,440188,0.33
269,27,262519,0.29
270,27,162703,0.21
271,28,642002,0.29
272,28,170475,0.08
273,28,261804,0.17
274,28,459607,0.25
275,28,670587,0.33
276,28,335611,0.21
277,28,789539,0.38
278,28,362144,0.21
279,28,843629,0.46
280,28,982255,0.46
281,29,598120,0.25
282,29,322640,0.17
283,29,687865,0.38
284,29,395106,0.21
285,29,198730,0.08
286,29,234112,0.12
287,29,665222,0.29
288,29,922637,0.42
289,29,940749,0.50
290,29,62575,0.08
291,30,730364,0.42
292,30,909432,0.46
293,30,784001,0.50
294,30,592989,0.38
295,30,558917,0.38
296,30,416739,0.25
297,30,745546,0.42
298,30,834733,0.33
299,30,19566,0.08
300,30,275874,0.12
301,31,258893,0.21
302,31,148659,0.08
303,31,527442,0.29
304,31,951919,0.50
305,31,1029361,0.50
306,31,145491,0.21
307,31,774168,0.50
308,31,924421,0.50
309,31,570856,0.25
310,31,622362,0.33
311,32,132748,0.08
312,32,474888,0.29
313,32,249993,0.08
314,32,351220,0.21
315,32,392834,0.25
316,32,1117832,0.50
317,32,711600,0.46
318,32,929465,0.46
319,32,717987,0.42
320,32,567738,0.42
321,33,128820,0.08
322,33,345117,0.17
323,33,798516,0.38
324,33,614057,0.42
325,33,607987,0.42
326,33,754493,0.33
327,33,428479,0.21
328,33,636256,0.29
329,33,208591,0.21
330,33,634746,0.38
331,34,979789,0.46
332,34,411332,0.21
333,34,370395,0.25
334,34,892454,0.42
335,34,312287,0.12
336,34,267327,0.12
337,34,846048,0.42
338,34,677356,0.42
339,34,272866,0.17
340,34,198044,0.08
341,35,345544,0.17
342,35,407222,0.25
343,35,211150,0.21
344,35,599786,0.42
345,35,206308,0.08
346,35,196633,0.17
347,35,813417,0.50
348,35,260722,0.17
349,35,737640,0.46
350,35,534957,0.33
351,36,518348,0.38
352,36,316262,0.21
353,36,244103,0.17
354,36,559616,0.38
355,36,356530,0.29
356,36,451993,0.29
357,36,523408,0.33
358,36,702288,0.42
359,36,83350,0.08
360,36,112388,0.08
361,37,407446,0.21
362,37,243820,0.21
363,37,607057,0.46
364,37,322854,0.21
365,37,282167,0.21
366,37,901165,0.50
367,37,352413,0.12
368,37,674510,0.33
369,37,259721,0.17
370,37,341731,0.17
371,38,892226,0.42
372,38,718689,0.38
373,38,660973,0.38
374,38,518295,0.25
375,38,866340,0.38
376,38,265707,0.12
377,38,582251,0.25
378,38,483650,0.25
379,38,386221,0.29
380,38,252247,0.12
381,39,565716,0.29
382,39,547959,0.25
383,39,742343,0.42
384,39,547930,0.21
385,39,469113,0.29
386,39,425854,0.29
387,39,224150,0.17
388,39,629200,0.29
389,39,809732,0.50
390,39,754922,0.38
391,40,252220,0.17
392,40,633085,0.42
393,40,579663,0.33
394,40,263897,0.12
395,40,175389,0.08
396,40,205201,0.12
397,40,700434,0.42
398,40,910826,0.46
399,40,771240,0.50
400,40,813979,0.38
401,41,646543,0.29
402,41,1119350,0.50
403,41,326562,0.17
404,41,245289,0.12
405,41,170512,0.08
406,41,930823,0.42
407,41,79018,0.12
408,41,568977,0.29
409,41,685417,0.33
410,41,215811,0.08
411,42,171081,0.12
412,42,228237,0.12
413,42,414279,0.25
414,42,323220,0.21
415,42,661754,0.50
416,42,654388,0.46
417,42,452186,0.33
418,42,198617,0.17
419,42,263815,0.17
420,42,221172,0.12
421,43,144091,0.17
422,43,495328,0.29
423,43,411584,0.25
424,43,825070,0.50
425,43,121436,0.08
426,43,653935,0.33
427,43,763690,0.50
428,43,577211,0.33
429,43,787963,0.46
430,43,177028,0.08
431,44,213129,0.21
432,44,350570,0.25
433,44,461017,0.33
434,44,227963,0.21
435,44,538028,0.42
436,44,214018,0.21
437,44,508337,0.50
438,44,403146,0.29
439,44,320326,0.33
440,44,366037,0.38
441,45,405967,0.29
442,45,260680,0.12
443,45,79217,0.08
444,45,825681,0.42
445,45,402833,0.21
446,45,610044,0.33
447,45,306378,0.25
448,45,753870,0.46
449,45,829264,0.38
450,45,566037,0.29
451,46,576946,0.38
452,46,611743,0.46
453,46,666671,0.29
454,46,722110,0.46
455,46,916030,0.50
456,46,617254,0.38
457,46,353687,0.21
458,46,519740,0.33
459,46,787415,0.33
460,46,502501,0.33
461,47,233184,0.12
462,47,743295,0.33
463,47,765049,0.33
464,47,315028,0.17
465,47,790533,0.42
466,47,376393,0.25
467,47,183190,0.08
468,47,871992,0.46
469,47,159875,0.12
470,47,814762,0.42
471,48,279636,0.29
472,48,200819,0.17
473,48,618422,0.46
474,48,710369,0.46
475,48,245498,0.21
476,48,119019,0.12
477,48,683225,0.46
478,48,193484,0.12
479,48,610452,0.50
480,48,534812,0.42
481,49,924720,0.50
482,49,70864,0.08
483,49,350879,0.25
484,49,298496,0.25
485,49,206639,0.21
486,49,738324,0.46
487,49,118314,0.12
488,49,472786,0.33
489,49,648717,0.46
490,49,160337,0.08
491,50,395188,0.21
492,50,957022,0.50
493,50,208692,0.12
494,50,926590,0.38
495,50,289059,0.17
496,50,1168359,0.50
497,50,411797,0.21
498,50,841791,0.38
499,50,725764,0.33
500,50,1109040,0.50
