Номер вектора,Вектор,a_max
12,"[547500, 613365, 515850, 122099, 577925, 281742, 337228, 591727, 1010325, 287302, 715627, 725952, 777730, 930211, 847249, 551369, 980799, 211797, 461209, 409391, 128769, 41961, 425486, 953168]",1048576
13,"[363231, 212168, 1012192, 597908, 886531, 582631, 588176, 957574, 707289, 723574, 293915, 261952, 993193, 673806, 1033928, 511297, 524016, 64279, 782581, 401972, 479364, 35820, 755727, 297400]",1048576
14,"[47645, 707975, 564074, 95748, 777748, 10135, 451993, 410590, 361784, 695237, 496649, 165451, 326316, 155983, 120968, 292605, 948827, 293865, 558331, 126863, 1025814, 792964, 114342, 996702]",1048576
15,"[355971, 412395, 27980, 403540, 447915, 575268, 918102, 367202, 435152, 64745, 357925, 869163, 732350, 402523, 396233, 757512, 317817, 806873, 785833, 779785, 537492, 585026, 647614, 770616]",1048576
16,"[947317, 916076, 308773, 1003891, 934163, 55725, 238598, 658335, 212486, 659178, 215248, 487373, 1027899, 896242, 909922, 618663, 40326, 567035, 876420, 790944, 805186, 3015, 6933, 962630]",1048576
17,"[621520, 760873, 283602, 538066, 96577, 570982, 247018, 629063, 602256, 935214, 873849, 888640, 930127, 191800, 901055, 386601, 280454, 988220, 27894, 276495, 420973, 84988, 1009338, 212633]",1048576
18,"[426204, 951889, 465797, 962381, 422164, 530386, 318092, 745741, 1016033, 375867, 75604, 977233, 703024, 925288, 28916, 1036784, 665182, 249308, 561087, 445589, 135792, 203767, 226329, 567428]",1048576
19,"[412343, 976246, 390237, 552184, 859050, 338425, 782882, 212379, 68193, 328271, 407543, 860080, 489051, 610845, 944810, 484469, 360630, 607618, 1024466, 13294, 909248, 835080, 282928, 310306]",1048576
20,"[333946, 577710, 155268, 13103, 875511, 436444, 608799, 142507, 818830, 482419, 98202, 124202, 1028131, 674247, 368170, 786248, 179243, 223684, 655267, 570002, 192757, 973330, 489993, 62925]",1048576
21,"[568790, 895148, 729320, 129090, 746408, 268035, 146065, 883253, 675337, 383651, 272318, 874404, 757153, 759611, 744679, 413905, 749070, 370710, 117844, 547354, 556825, 853244, 1035474, 672251]",1048576
22,"[288880, 936828, 38440, 635380, 586212, 1041264, 188714, 103260, 5930, 829140, 114369, 411057, 8527, 385772, 954992, 177581, 584097, 716284, 968850, 233849, 440293, 542076, 359077, 926550]",1048576
23,"[824101, 96684, 72406, 313030, 270899, 288791, 194384, 806510, 958872, 47703, 43287, 893996, 134503, 881191, 678889, 724243, 681078, 612905, 620975, 844262, 403939, 706602, 735212, 483372]",1048576
24,"[192821, 913169, 490508, 450013, 192619, 109329, 651478, 1033752, 35055, 28668, 983126, 706010, 1023658, 439600, 962810, 480316, 286512, 925306, 185637, 808470, 165072, 376394, 354183, 416873]",1048576
25,"[414748, 206471, 534867, 324310, 139821, 177881, 464617, 881513, 295410, 312514, 539845, 329199, 828248, 279957, 351208, 364350, 228106, 519565, 180350, 304970, 917317, 353123, 650929, 248558]",1048576
26,"[850038, 446311, 247685, 205851, 989226, 727894, 365181, 986758, 968017, 133185, 71344, 429869, 625327, 717420, 536643, 560929, 1009895, 549681, 940994, 936072, 638054, 721331, 155602, 178874]",1048576
27,"[999939, 752743, 301197, 896129, 124786, 198166, 828089, 883190, 529087, 162262, 1032411, 531778, 530859, 400812, 927103, 161934, 565109, 1033287, 903237, 921510, 417625, 508891, 888942, 237520]",1048576
28,"[155806, 509787, 427259, 694111, 303973, 1019759, 505951, 29435, 788606, 954352, 269735, 804189, 897143, 161473, 969217, 544198, 173724, 405172, 826458, 572764, 511638, 698493, 41942, 1003624]",1048576
29,"[764207, 518804, 379637, 85561, 986376, 337293, 843957, 513645, 763753, 424798, 438977, 654535, 742814, 779786, 742891, 670257, 20534, 439357, 256222, 837168, 283156, 736135, 779340, 141069]",1048576
30,"[54014, 673792, 476608, 760768, 399013, 678086, 1044025, 422909, 961605, 890888, 603534, 708991, 556159, 428516, 329678, 288801, 860690, 1039272, 657731, 876569, 77851, 183246, 291066, 221519]",1048576
31,"[183929, 575428, 59054, 205534, 572398, 415245, 214785, 508527, 210446, 524166, 112542, 658010, 664673, 29611, 1000251, 786037, 214872, 279952, 533566, 448965, 1043619, 840591, 631623, 887217]",1048576
32,"[708810, 62650, 281377, 794402, 903224, 476603, 26509, 247378, 139588, 356894, 937534, 763976, 245037, 646147, 647400, 561332, 695833, 394070, 994362, 376371, 433208, 875966, 469793, 123561]",1048576
33,"[401229, 614164, 923165, 407509, 77234, 338889, 680741, 1011698, 544610, 114257, 935559, 958756, 958703, 904336, 36957, 263024, 638775, 741464, 200051, 758597, 999514, 546814, 784079, 50069]",1048576
34,"[767538, 837565, 49886, 795305, 714513, 809207, 835390, 7270, 206221, 902951, 1012140, 986354, 77909, 894414, 435921, 343427, 738039, 615363, 882246, 86742, 743796, 740090, 871869, 159002]",1048576
35,"[755313, 922720, 1041303, 208202, 855198, 699530, 278667, 416039, 260808, 643702, 89487, 720464, 842672, 186396, 117855, 897010, 983691, 356659, 192525, 628544, 386739, 382202, 1001744, 407463]",1048576
36,"[669549, 426540, 168066, 411358, 82391, 151813, 736216, 920858, 483447, 221376, 927705, 692927, 726886, 448239, 779719, 207965, 907881, 386538, 57907, 928749, 995215, 511366, 262999, 126585]",1048576
37,"[245530, 280411, 391091, 786107, 200835, 222004, 605778, 132734, 507499, 20380, 131050, 900208, 529438, 219016, 1877, 454673, 658944, 777461, 31596, 174810, 453358, 899717, 844890, 931406]",1048576
38,"[205967, 664737, 5823, 325901, 682243, 859399, 999272, 217457, 402671, 623814, 675699, 631049, 967717, 46429, 376713, 595955, 659786, 971968, 909784, 56931, 542354, 279246, 654874, 494715]",1048576
39,"[894928, 962100, 160310, 758443, 14806, 736756, 319925, 986431, 766765, 793399, 741775, 876547, 651970, 808509, 602660, 271248, 498004, 45723, 859785, 997534, 927503, 982477, 340656, 822787]",1048576
40,"[946918, 646167, 991465, 256684, 991698, 451744, 501908, 392545, 463318, 507198, 435090, 963126, 799118, 556917, 1044673, 309971, 598575, 799337, 468699, 276504, 590480, 341323, 286857, 76082]",1048576
41,"[784627, 91724, 301650, 535025, 720083, 460949, 731619, 631875, 211999, 513522, 529637, 567113, 162527, 884548, 696703, 232065, 558065, 262371, 139600, 444370, 360188, 195480, 66945, 813015]",1048576
42,"[61765, 721938, 213470, 227925, 364524, 105193, 433815, 439679, 104488, 133608, 940385, 836203, 752147, 420272, 427258, 183345, 617577, 23295, 757157, 176267, 165126, 574655, 406834, 178741]",1048576
43,"[626722, 626944, 105909, 466637, 652177, 306285, 470984, 765615, 196964, 984306, 534955, 423308, 993077, 285811, 577630, 258194, 44206, 540517, 555320, 365591, 264766, 567059, 337449, 258712]",1048576
44,"[481608, 426408, 979464, 380239, 913413, 653374, 1037578, 277589, 928342, 985394, 242858, 608637, 69757, 563073, 49393, 723553, 691608, 816681, 739485, 698205, 1018679, 1031347, 348159, 585406]",1048576
45,"[700648, 524488, 65120, 99725, 334480, 7457, 250641, 126949, 337751, 161799, 727846, 8111, 157284, 860280, 494131, 723704, 428443, 1010172, 95810, 311267, 25744, 431087, 330926, 458549]",1048576
46,"[823380, 1001675, 800402, 324421, 960980, 836888, 311946, 713987, 26141, 15830, 305446, 872843, 196653, 163583, 373190, 713897, 740091, 970094, 579908, 472381, 541378, 936394, 634226, 292658]",1048576
47,"[624750, 323019, 151852, 581474, 331461, 759047, 93520, 585247, 56722, 764254, 714661, 19702, 692234, 1023837, 986767, 550006, 515018, 143705, 976229, 129397, 406695, 428351, 78345, 932805]",1048576
48,"[354114, 864204, 828334, 556585, 961565, 507916, 67395, 687301, 809921, 769303, 882293, 124454, 181547, 1024403, 956743, 934220, 29344, 710045, 992302, 394776, 113522, 916895, 430052, 1040656]",1048576
49,"[984238, 243453, 580004, 399208, 903108, 265889, 1036951, 887642, 524737, 834220, 385245, 136440, 7478, 627111, 180670, 757943, 738301, 186436, 850541, 659410, 529808, 4991, 591418, 237557]",1048576
50,"[18052, 991771, 427732, 283585, 981772, 27601, 538259, 1044739, 439425, 352177, 129300, 878721, 105277, 88039, 2998, 215641, 365315, 691987, 337730, 817438, 474123, 771551, 718169, 930519]",1048576
