Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
162,0.574370,0,Найдено точное решение,329
271,0.012611,0,Найдено точное решение,11
264,0.741358,0,Найдено точное решение,412
196,1.042294,0,Найдено точное решение,616
247,0.702113,0,Найдено точное решение,379
170,0.995460,0,Найдено точное решение,570
188,1.418711,33,Нет улучшений на последних двух итерациях,823
222,0.973787,0,Найдено точное решение,568
255,0.436595,0,Найдено точное решение,226
240,0.515073,0,Найдено точное решение,292
204,1.746989,1021,Достигнуто максимальное число поколений,1000
265,0.288318,0,Найдено точное решение,169
213,0.994207,0,Найдено точное решение,562
142,1.070671,127,Нет улучшений на последних двух итерациях,621
223,0.168658,0,Найдено точное решение,101
214,0.040336,0,Найдено точное решение,28
143,0.043149,0,Найдено точное решение,24
241,0.174872,0,Найдено точное решение,104
256,0.214309,0,Найдено точное решение,126
230,1.113973,28,Нет улучшений на последних двух итерациях,638
152,1.051011,58,Нет улучшений на последних двух итерациях,617
231,0.110210,0,Найдено точное решение,74
189,0.706158,0,Найдено точное решение,445
179,1.221114,419,Нет улучшений на последних двух итерациях,700
171,0.818654,130,Нет улучшений на последних двух итерациях,500
205,0.582641,0,Найдено точное решение,360
197,0.904057,0,Найдено точное решение,556
248,0.910404,407,Нет улучшений на последних двух итерациях,564
266,0.659044,0,Найдено точное решение,408
249,0.027870,0,Найдено точное решение,12
250,0.010357,0,Найдено точное решение,6
257,0.699535,0,Найдено точное решение,423
144,0.835802,0,Найдено точное решение,494
242,0.805578,200,Нет улучшений на последних двух итерациях,509
272,1.295282,32,Нет улучшений на последних двух итерациях,771
215,0.878237,333,Нет улучшений на последних двух итерациях,519
267,0.276792,0,Найдено точное решение,170
198,0.411215,0,Найдено точное решение,255
273,0.159003,0,Найдено точное решение,91
224,1.151172,53,Нет улучшений на последних двух итерациях,692
153,0.895300,7,Нет улучшений на последних двух итерациях,549
180,0.697896,0,Найдено точное решение,430
243,0.371371,0,Найдено точное решение,231
307,0.344864,0,Найдено точное решение,202
232,1.051819,244,Нет улучшений на последних двух итерациях,622
268,0.583879,0,Найдено точное решение,346
325,0.303505,0,Найдено точное решение,172
308,0.202740,0,Найдено точное решение,114
206,1.037848,43,Нет улучшений на последних двух итерациях,608
269,0.229310,0,Найдено точное решение,109
216,0.832792,0,Найдено точное решение,467
251,1.093005,587,Нет улучшений на последних двух итерациях,653
274,0.748984,0,Найдено точное решение,434
258,1.012627,106,Нет улучшений на последних двух итерациях,607
259,0.050653,0,Найдено точное решение,27
225,0.704249,0,Найдено точное решение,411
289,1.400048,8,Нет улучшений на последних двух итерациях,867
233,0.544174,0,Найдено точное решение,311
298,1.087350,40,Нет улучшений на последних двух итерациях,641
280,1.609612,0,Найдено точное решение,959
334,0.872659,2,Нет улучшений на последних двух итерациях,519
316,0.975074,213,Нет улучшений на последних двух итерациях,575
207,0.634962,0,Найдено точное решение,369
275,0.485006,0,Найдено точное решение,289
290,0.351998,0,Найдено точное решение,221
361,0.078869,0,Найдено точное решение,43
299,0.437491,0,Найдено точное решение,251
343,0.739497,0,Найдено точное решение,445
252,0.906412,30,Нет улучшений на последних двух итерациях,523
309,1.087947,175,Нет улучшений на последних двух итерациях,632
335,0.556958,0,Найдено точное решение,335
270,1.017364,23,Нет улучшений на последних двух итерациях,627
370,0.228754,0,Найдено точное решение,138
260,1.028170,959,Нет улучшений на последних двух итерациях,614
310,0.255573,0,Найдено точное решение,149
234,0.963481,246,Нет улучшений на последних двух итерациях,575
352,1.154332,121,Нет улучшений на последних двух итерациях,687
326,1.607281,271,Нет улучшений на последних двух итерациях,939
311,0.241410,0,Найдено точное решение,140
281,1.080586,36,Нет улучшений на последних двух итерациях,649
300,0.773114,0,Найдено точное решение,466
362,0.929622,33,Нет улучшений на последних двух итерациях,570
317,1.084510,60,Нет улучшений на последних двух итерациях,671
276,1.044847,47,Нет улучшений на последних двух итерациях,643
291,1.089640,174,Нет улучшений на последних двух итерациях,645
344,1.100986,121,Нет улучшений на последних двух итерациях,622
345,0.013553,0,Найдено точное решение,8
327,0.470191,0,Найдено точное решение,254
301,0.531243,0,Найдено точное решение,304
336,1.152639,163,Нет улучшений на последних двух итерациях,672
261,0.956579,11,Нет улучшений на последних двух итерациях,557
337,0.006036,0,Найдено точное решение,5
379,1.124998,47,Нет улучшений на последних двух итерациях,647
371,1.002704,14,Нет улучшений на последних двух итерациях,568
328,0.334354,0,Найдено точное решение,190
329,0.008660,0,Найдено точное решение,8
277,0.611520,0,Найдено точное решение,340
302,0.277270,0,Найдено точное решение,146
346,0.415825,0,Найдено точное решение,234
282,0.900546,266,Нет улучшений на последних двух итерациях,513
303,0.147750,0,Найдено точное решение,82
292,0.889163,0,Найдено точное решение,498
283,0.224284,0,Найдено точное решение,125
388,1.347120,244,Нет улучшений на последних двух итерациях,757
363,1.071410,139,Нет улучшений на последних двух итерациях,627
278,0.528294,0,Найдено точное решение,311
318,1.265691,104,Нет улучшений на последних двух итерациях,720
293,0.441975,0,Найдено точное решение,259
353,1.685935,401,Нет улучшений на последних двух итерациях,970
364,0.423787,0,Найдено точное решение,253
312,1.574277,1,Нет улучшений на последних двух итерациях,920
304,0.639393,0,Найдено точное решение,365
365,0.095723,0,Найдено точное решение,51
330,0.943240,337,Нет улучшений на последних двух итерациях,556
347,0.876299,0,Найдено точное решение,521
313,0.287390,0,Найдено точное решение,172
380,1.157280,388,Нет улучшений на последних двух итерациях,695
372,1.165746,72,Нет улучшений на последних двух итерациях,709
284,0.777699,0,Найдено точное решение,463
348,0.191013,0,Найдено точное решение,112
314,0.113031,0,Найдено точное решение,60
397,1.296293,38,Нет улучшений на последних двух итерациях,763
315,0.074480,0,Найдено точное решение,43
406,0.088107,0,Найдено точное решение,43
319,0.934878,400,Нет улучшений на последних двух итерациях,564
279,1.040582,0,Найдено точное решение,615
338,1.689156,38,Достигнуто максимальное число поколений,1000
294,0.888752,315,Нет улучшений на последних двух итерациях,512
389,1.336966,303,Нет улучшений на последних двух итерациях,786
407,0.348916,0,Найдено точное решение,216
305,0.900770,36,Нет улучшений на последних двух итерациях,549
295,0.111422,0,Найдено точное решение,60
354,1.031745,543,Нет улучшений на последних двух итерациях,602
366,1.076799,83,Нет улучшений на последних двух итерациях,621
339,0.391759,0,Найдено точное решение,224
331,1.083142,230,Нет улучшений на последних двух итерациях,626
285,0.961051,0,Найдено точное решение,549
349,0.954179,16,Нет улучшений на последних двух итерациях,558
296,0.352001,0,Найдено точное решение,213
390,0.496678,0,Найдено точное решение,285
355,0.410502,0,Найдено точное решение,235
373,1.175380,576,Нет улучшений на последних двух итерациях,687
381,1.269074,37,Нет улучшений на последних двух итерациях,748
320,0.873266,271,Нет улучшений на последних двух итерациях,523
398,1.194287,74,Нет улучшений на последних двух итерациях,726
415,0.863485,225,Нет улучшений на последних двух итерациях,518
297,0.413761,0,Найдено точное решение,259
321,0.171523,0,Найдено точное решение,112
322,0.026944,0,Найдено точное решение,14
356,0.449334,0,Найдено точное решение,274
306,1.080090,22,Нет улучшений на последних двух итерациях,638
367,0.866288,0,Найдено точное решение,521
340,1.032359,66,Нет улучшений на последних двух итерациях,644
399,0.661204,0,Найдено точное решение,399
350,0.986121,20,Нет улучшений на последних двух итерациях,602
286,1.030572,32,Нет улучшений на последних двух итерациях,635
351,0.046409,0,Найдено точное решение,30
408,1.498397,66,Нет улучшений на последних двух итерациях,912
442,0.094750,0,Найдено точное решение,50
409,0.048837,0,Найдено точное решение,27
341,0.221835,0,Найдено точное решение,122
374,0.990935,25,Нет улучшений на последних двух итерациях,605
368,0.470819,0,Найдено точное решение,252
342,0.060648,0,Найдено точное решение,45
382,0.959856,61,Нет улучшений на последних двух итерациях,588
332,1.294640,0,Найдено точное решение,780
410,0.076741,0,Найдено точное решение,41
369,0.053755,0,Найдено точное решение,42
383,0.043512,0,Найдено точное решение,19
391,1.260403,107,Нет улучшений на последних двух итерациях,748
323,0.930280,78,Нет улучшений на последних двух итерациях,575
416,1.169809,82,Нет улучшений на последних двух итерациях,683
324,0.106813,0,Найдено точное решение,55
469,0.209081,0,Найдено точное решение,113
417,0.390073,0,Найдено точное решение,229
424,1.477962,0,Найдено точное решение,837
287,1.048167,281,Нет улучшений на последних двух итерациях,588
443,1.000415,54,Нет улучшений на последних двух итерациях,542
384,0.933930,26,Нет улучшений на последних двух итерациях,520
375,1.018485,0,Найдено точное решение,569
333,1.011861,50,Нет улучшений на последних двух итерациях,548
400,1.327888,0,Найдено точное решение,752
357,1.769668,22,Достигнуто максимальное число поколений,1000
451,1.180178,0,Найдено точное решение,650
460,1.151365,24,Нет улучшений на последних двух итерациях,599
411,1.230934,281,Нет улучшений на последних двух итерациях,673
418,0.593103,0,Найдено точное решение,303
461,0.101599,0,Найдено точное решение,62
358,0.159882,0,Найдено точное решение,86
392,1.212675,223,Нет улучшений на последних двух итерациях,654
433,1.836769,807,Достигнуто максимальное число поколений,1000
425,0.662099,0,Найдено точное решение,379
376,0.478691,0,Найдено точное решение,259
419,0.255929,0,Найдено точное решение,151
420,0.203734,0,Найдено точное решение,94
421,0.006225,0,Найдено точное решение,5
444,0.837725,0,Найдено точное решение,429
426,0.549718,0,Найдено точное решение,285
385,0.938920,7,Нет улучшений на последних двух итерациях,514
401,0.896193,332,Нет улучшений на последних двух итерациях,502
470,1.462766,210,Нет улучшений на последних двух итерациях,778
478,0.999507,0,Найдено точное решение,534
427,0.140023,0,Найдено точное решение,73
288,1.244977,183,Нет улучшений на последних двух итерациях,688
452,0.908802,39,Нет улучшений на последних двух итерациях,504
402,0.194054,0,Найдено точное решение,104
393,0.942347,231,Нет улучшений на последних двух итерациях,507
434,0.999513,9,Нет улучшений на последних двух итерациях,533
412,1.112406,285,Нет улучшений на последних двух итерациях,592
413,0.052825,0,Найдено точное решение,38
462,1.172089,2,Нет улучшений на последних двух итерациях,627
453,0.434847,0,Найдено точное решение,246
359,1.237946,80,Нет улучшений на последних двух итерациях,696
422,0.824682,0,Найдено точное решение,463
377,1.171869,0,Найдено точное решение,649
435,0.308415,0,Найдено точное решение,158
423,0.207563,0,Найдено точное решение,120
463,0.331561,0,Найдено точное решение,190
454,0.305907,0,Найдено точное решение,173
455,0.008990,0,Найдено точное решение,8
464,0.060036,0,Найдено точное решение,30
414,0.509131,0,Найдено точное решение,294
445,1.205053,154,Нет улучшений на последних двух итерациях,686
403,0.789092,0,Найдено точное решение,458
428,0.921322,48,Нет улучшений на последних двух итерациях,551
465,0.132827,0,Найдено точное решение,89
386,1.065387,188,Нет улучшений на последних двух итерациях,639
394,0.842987,90,Нет улучшений на последних двух итерациях,502
471,1.148941,102,Нет улучшений на последних двух итерациях,677
360,0.700172,0,Найдено точное решение,420
479,1.214779,65,Нет улучшений на последних двух итерациях,698
487,1.210753,0,Найдено точное решение,733
436,0.732140,0,Найдено точное решение,448
496,0.672787,0,Найдено точное решение,415
395,0.331899,0,Найдено точное решение,202
429,0.482700,0,Найдено точное решение,292
456,0.729650,0,Найдено точное решение,453
387,0.608045,0,Найдено точное решение,367
472,0.495480,0,Найдено точное решение,326
480,0.435671,0,Найдено точное решение,296
430,0.244931,0,Найдено точное решение,165
466,0.796160,59,Нет улучшений на последних двух итерациях,513
473,0.244257,0,Найдено точное решение,174
378,1.243170,174,Нет улучшений на последних двух итерациях,795
404,0.939465,0,Найдено точное решение,608
457,0.358455,0,Найдено точное решение,257
497,0.665705,0,Найдено точное решение,431
446,1.170771,991,Нет улучшений на последних двух итерациях,769
396,0.714359,122,Нет улучшений на последних двух итерациях,513
431,0.464038,0,Найдено точное решение,313
488,0.874398,0,Найдено точное решение,603
447,0.211031,0,Найдено точное решение,162
437,1.022296,144,Нет улучшений на последних двух итерациях,702
467,0.702591,154,Нет улучшений на последних двух итерациях,518
474,0.630506,0,Найдено точное решение,451
405,0.619315,0,Найдено точное решение,431
481,0.965438,13,Нет улучшений на последних двух итерациях,711
432,0.489422,0,Найдено точное решение,387
458,0.866752,227,Нет улучшений на последних двух итерациях,630
489,0.797299,0,Найдено точное решение,676
448,0.680794,0,Найдено точное решение,564
475,0.571282,6,Нет улучшений на последних двух итерациях,519
468,0.637172,200,Нет улучшений на последних двух итерациях,541
498,1.014002,12,Нет улучшений на последних двух итерациях,845
482,0.555092,64,Нет улучшений на последних двух итерациях,503
459,0.541993,15,Нет улучшений на последних двух итерациях,511
438,0.940102,9,Нет улучшений на последних двух итерациях,858
449,0.337452,0,Найдено точное решение,336
439,0.051974,0,Найдено точное решение,56
440,0.030406,0,Найдено точное решение,32
490,0.496254,100,Нет улучшений на последних двух итерациях,510
499,0.370905,0,Найдено точное решение,390
500,0.101367,0,Найдено точное решение,112
476,0.557059,0,Найдено точное решение,592
483,0.519700,215,Нет улучшений на последних двух итерациях,576
450,0.468536,0,Найдено точное решение,531
477,0.312454,0,Найдено точное решение,380
441,0.605239,143,Нет улучшений на последних двух итерациях,704
484,0.373257,0,Найдено точное решение,461
485,0.070740,0,Найдено точное решение,88
491,0.709908,55,Нет улучшений на последних двух итерациях,861
492,0.329572,0,Найдено точное решение,417
493,0.039473,0,Найдено точное решение,48
486,0.502105,669,Нет улучшений на последних двух итерациях,636
494,0.131946,0,Найдено точное решение,166
495,0.497838,50,Нет улучшений на последних двух итерациях,643
