Номер задачи,Номер вектора,Целевой вес,Доля предметов
150,15,3548451,0.25
151,16,1869337,0.21
152,16,1838152,0.17
153,16,5012681,0.33
154,16,2948946,0.33
155,16,408101,0.08
156,16,4452398,0.38
157,16,3059206,0.38
158,16,4475550,0.38
159,16,3876049,0.38
160,16,1965583,0.21
161,17,4296107,0.50
162,17,1630153,0.25
163,17,2365515,0.33
164,17,2100577,0.42
165,17,1774496,0.33
166,17,1090534,0.25
167,17,3225369,0.42
168,17,549443,0.08
169,17,2065255,0.21
170,17,2106068,0.25
171,18,5343576,0.46
172,18,6175652,0.46
173,18,1455133,0.08
174,18,5558778,0.42
175,18,1495040,0.17
176,18,3172729,0.29
177,18,2229573,0.25
178,18,1425591,0.08
179,18,5704806,0.42
180,18,3522905,0.21
181,19,2420296,0.17
182,19,3948594,0.29
183,19,2193065,0.12
184,19,4158109,0.38
185,19,6727471,0.42
186,19,2942937,0.21
187,19,3704970,0.38
188,19,5914340,0.50
189,19,2665283,0.17
190,19,5507103,0.42
191,20,1130440,0.12
192,20,6921809,0.46
193,20,4598279,0.42
194,20,5402309,0.50
195,20,3744930,0.42
196,20,4281393,0.33
197,20,385629,0.08
198,20,3348566,0.25
199,20,1834673,0.12
200,20,1015781,0.08
201,21,2237337,0.17
202,21,759285,0.08
203,21,6799461,0.46
204,21,3627877,0.33
205,21,2461768,0.12
206,21,6577433,0.50
207,21,1496343,0.08
208,21,6828745,0.50
209,21,6361629,0.46
210,21,4627108,0.38
211,22,7344357,0.50
212,22,2416361,0.12
213,22,7338797,0.50
214,22,2113699,0.17
215,22,4128357,0.42
216,22,3185744,0.21
217,22,4505142,0.29
218,22,3953212,0.29
219,22,4054270,0.25
220,22,1695107,0.17
221,23,5141179,0.50
222,23,4924056,0.42
223,23,2472560,0.25
224,23,4614190,0.50
225,23,7547750,0.50
226,23,4009783,0.33
227,23,3018285,0.21
228,23,1626445,0.12
229,23,4222568,0.38
230,23,2002141,0.17
231,24,2603377,0.17
232,24,1124355,0.12
233,24,757885,0.12
234,24,3881941,0.38
235,24,1766958,0.12
236,24,3423316,0.25
237,24,2591536,0.33
238,24,870625,0.17
239,24,2360858,0.12
240,24,4863625,0.38
241,25,302113,0.08
242,25,376461,0.12
243,25,4855164,0.38
244,25,1943099,0.21
245,25,1647670,0.12
246,25,1296155,0.12
247,25,5496168,0.46
248,25,5138528,0.33
249,25,6273921,0.50
250,25,5752194,0.50
251,26,2651907,0.17
252,26,2063569,0.12
253,26,7744264,0.46
254,26,1635786,0.21
255,26,3130224,0.25
256,26,3243661,0.21
257,26,4949955,0.46
258,26,7084783,0.50
259,26,131136,0.08
260,26,2244560,0.21
261,27,4605369,0.29
262,27,359373,0.08
263,27,4493594,0.38
264,27,2620935,0.29
265,27,3658019,0.33
266,27,3454187,0.38
267,27,5810308,0.46
268,27,3742449,0.29
269,27,2243021,0.25
270,27,2209372,0.21
271,28,5541685,0.46
272,28,4127179,0.38
273,28,5158657,0.46
274,28,3719137,0.29
275,28,2250708,0.25
276,28,3271448,0.29
277,28,6425600,0.50
278,28,2728716,0.21
279,28,4468850,0.42
280,28,3307733,0.25
281,29,8032581,0.46
282,29,4923216,0.29
283,29,6064804,0.42
284,29,3151380,0.33
285,29,7173942,0.50
286,29,6729775,0.42
287,29,1261502,0.08
288,29,6193381,0.46
289,29,5411229,0.38
290,29,1164825,0.12
291,30,1278410,0.12
292,30,7252310,0.50
293,30,4787281,0.33
294,30,5076508,0.25
295,30,6069575,0.38
296,30,1205475,0.08
297,30,3730244,0.25
298,30,7268115,0.46
299,30,5956970,0.50
300,30,2190640,0.17
301,31,4380737,0.38
302,31,7474905,0.46
303,31,1150577,0.08
304,31,3750546,0.29
305,31,811909,0.08
306,31,3178998,0.25
307,31,3054884,0.21
308,31,3665040,0.29
309,31,4447931,0.33
310,31,3786886,0.33
311,32,4746056,0.50
312,32,913039,0.12
313,32,4311192,0.38
314,32,2560469,0.21
315,32,2010050,0.12
316,32,845578,0.12
317,32,1737500,0.25
318,32,893739,0.08
319,32,4177209,0.38
320,32,5070100,0.46
321,33,7973299,0.50
322,33,1648574,0.08
323,33,561832,0.08
324,33,7131121,0.42
325,33,2057002,0.17
326,33,6451097,0.50
327,33,7755950,0.42
328,33,6532041,0.46
329,33,7171909,0.42
330,33,1415400,0.08
331,34,5603802,0.46
332,34,3117357,0.25
333,34,4169442,0.29
334,34,3423790,0.33
335,34,4636099,0.42
336,34,3059753,0.25
337,34,4854538,0.42
338,34,1147324,0.08
339,34,4223884,0.42
340,34,1251678,0.08
341,35,6806487,0.50
342,35,5114034,0.42
343,35,1176144,0.17
344,35,7952047,0.50
345,35,5243136,0.38
346,35,2045428,0.21
347,35,5559832,0.46
348,35,4946088,0.42
349,35,3919042,0.33
350,35,2149563,0.17
351,36,1359839,0.08
352,36,3160545,0.21
353,36,4500862,0.33
354,36,3078039,0.17
355,36,3549199,0.25
356,36,5934947,0.33
357,36,2671363,0.21
358,36,7405899,0.42
359,36,6014745,0.38
360,36,4183393,0.25
361,37,3782979,0.42
362,37,4552706,0.38
363,37,2237719,0.21
364,37,1932136,0.17
365,37,787759,0.12
366,37,4241839,0.29
367,37,875489,0.08
368,37,4675946,0.38
369,37,3648317,0.38
370,37,1945953,0.21
371,38,4407672,0.38
372,38,2663761,0.21
373,38,1845634,0.12
374,38,7166460,0.50
375,38,1933585,0.12
376,38,4141731,0.29
377,38,1029650,0.08
378,38,1259769,0.12
379,38,8551614,0.50
380,38,2749411,0.17
381,39,3663279,0.33
382,39,3772908,0.33
383,39,2985123,0.25
384,39,671909,0.08
385,39,6360759,0.46
386,39,2583499,0.29
387,39,6717159,0.50
388,39,3847877,0.25
389,39,4137621,0.29
390,39,1420651,0.12
391,40,4973313,0.46
392,40,3180207,0.33
393,40,4702432,0.46
394,40,2452949,0.21
395,40,1287476,0.21
396,40,3859601,0.33
397,40,1227478,0.12
398,40,4225868,0.29
399,40,1133688,0.12
400,40,2793263,0.17
401,41,2412781,0.33
402,41,3961923,0.33
403,41,2411071,0.25
404,41,2429844,0.21
405,41,4666871,0.42
406,41,3921541,0.33
407,41,1472644,0.12
408,41,677981,0.08
409,41,2537576,0.21
410,41,2435421,0.17
411,42,1058566,0.08
412,42,3094081,0.33
413,42,1902228,0.21
414,42,1862274,0.17
415,42,3824061,0.38
416,42,1346647,0.12
417,42,3721979,0.29
418,42,1417041,0.17
419,42,6140422,0.46
420,42,15778,0.08
421,43,5282967,0.38
422,43,2040970,0.17
423,43,4555109,0.33
424,43,2231734,0.17
425,43,6902976,0.46
426,43,3802770,0.25
427,43,3940075,0.25
428,43,6617319,0.46
429,43,2524561,0.21
430,43,2146932,0.12
431,44,1540836,0.17
432,44,1749194,0.12
433,44,6337575,0.46
434,44,1396089,0.08
435,44,6913372,0.50
436,44,2351153,0.12
437,44,6103797,0.42
438,44,4344043,0.33
439,44,3732845,0.29
440,44,931206,0.08
441,45,7209959,0.42
442,45,4783112,0.25
443,45,1453507,0.08
444,45,6275646,0.33
445,45,7062317,0.50
446,45,4761875,0.29
447,45,2678302,0.17
448,45,3433294,0.17
449,45,6958377,0.50
450,45,8666265,0.50
451,46,401518,0.08
452,46,1809114,0.17
453,46,1327391,0.17
454,46,5074171,0.38
455,46,934880,0.12
456,46,3940736,0.33
457,46,2565286,0.17
458,46,1995436,0.12
459,46,1463139,0.08
460,46,2498751,0.29
461,47,5252802,0.46
462,47,3383736,0.29
463,47,3399459,0.29
464,47,5930226,0.46
465,47,3555413,0.33
466,47,5839245,0.42
467,47,1212293,0.12
468,47,1231562,0.12
469,47,4047573,0.25
470,47,6206024,0.46
471,48,2697107,0.25
472,48,2622302,0.21
473,48,2910875,0.29
474,48,1757454,0.17
475,48,1208149,0.12
476,48,3188072,0.33
477,48,6012247,0.50
478,48,1612619,0.12
479,48,2727222,0.21
480,48,4692728,0.46
481,49,4925654,0.42
482,49,4879155,0.42
483,49,3862560,0.29
484,49,5206361,0.38
485,49,3327030,0.21
486,49,617935,0.08
487,49,6355652,0.50
488,49,5667355,0.33
489,49,5232616,0.42
490,49,4659329,0.42
491,50,644091,0.08
492,50,6233758,0.46
493,50,2851765,0.17
494,50,5305218,0.38
495,50,4480694,0.50
496,50,916665,0.08
497,50,7008642,0.50
498,50,2770946,0.21
499,50,5166468,0.38
500,50,5854659,0.50
